name,red_cards
Marouane Fellaini,2
Ludovic Baal,2
Gareth McAuley,2
Nabil Dirar,2
Michael Gardawski,2
Adem Büyük,2
Diego Perotti,3
Hasan Ali Kaldirim,2
Danny Swanson,2
Troy Deeney,2
Víctor Laguardia,3
Guillaume François,2
Omar El Kaddouri,3
Strahil Popov,2
Giulio Donati,3
Konstantinos Manolas,2
Haris Seferovic,2
Michael de Leeuw,2
Germán Pezzella,4
Andile Jali,2
Christophe Hérelle,3
Emerson,2
Emil Krafth,2
Oussama Haddadi,2
Jamie Vardy,2
Chancel Mbemba,2
Erick Pulgar,2
Fahd Moufi,5
Aboubakar Kamara,3
Iván Márquez,2
Pedro Sá,2
Deyovaisio Zeefuik,2
François Kamano,2
Theo Hernández,2
Marcão,4
Rodrigão,2
Vicente Iborra,2
Sergey Petrov,2
Ivan Ordets,4
Lewis Dunk,3
Mike te Wierik,2
Emanuel Insúa,2
Volodymyr Shepelev,2
Chidozie Awaziem,3
Aboubakary Koita,2
Samuel Grandsir,2
Thiago Motta,2
Jaroslav Drobny,2
Casemiro,2
Fabien Camus,2
Daniel Congré,3
Vasco Fernandes,2
Cicinho,2
Mauro Zárate,2
Naldo,3
Andrea Consigli,3
Stefan Radu,2
Nuno Pinto,2
Fabian Delph,3
Adnan Aganovic,2
Zanka,3
Zequinha,2
Diego Ângelo,3
Rafik Halliche,4
Iago Herrerín,2
Nadir Ciftci,2
Juan Cuadrado,4
Lucas Digne,2
Kévin Malcuit,2
Petrus Boumal,2
Téji Savanier,6
João Amorim,2
Petar Djurickovic,2
Mohamed Elneny,2
Noë Dussenne,2
Fegor Ogude,3
Gonzalo Verdú,2
Benjamin Verbic,3
Björn Engels,2
Bryan Cristante,2
Leon Guwara,2
Nabil Fekir,5
Bevis Mugabi,2
Simon Deli,2
Modou Diagne,2
Jerry St. Juste,2
Lucas Possignolo,2
Thibault De Smet,3
Teenage Hadebe,2
Hamza Mendyl,3
Valon Behrami,2
Romain Brégerie,2
Charles Kaboré,2
Dani Parejo,2
Leroy Fer,2
Marko Livaja,2
Anthony Knockaert,2
Mickey van der Hart,2
Youssouf Koné,3
Christian Noboa,2
Nicolaj Madsen,2
Fallou Diagne,4
Ahmet Calik,2
Ricky Foster,2
Tom Huddlestone,2
Milos Maric,2
Morgan Amalfitano,2
Seth De Witte,2
Brecht Capon,2
Rui Patrício,2
Eyong Enoh,2
Marcelo,3
Petar Skuletic,2
Ryan Jack,3
Silviu Lung Jr.,2
Luka Milivojevic,3
Damián Suárez,2
Efe Ambrose,2
Timothée Kolodziejczak,4
Antoine Griezmann,2
Juankar,2
Nicolás Tagliafico,2
Rodrigo,4
Leander Dendoncker,3
Robert Bauer,2
João Cancelo,2
Tozé,2
Anastasios Donis,2
Jemerson,2
Aleksandr Golovin,2
Ángel Correa,3
Samuel Gigot,2
Enzo Crivelli,2
Ezequiel Ponce,3
Mehdi Taremi,3
Alexis Pérez,2
Igor Kogut,2
Gerardo Arteaga,2
Tormena,2
Youssouf Fofana,2
Amine Adli,2
Scott Brown,2
Georgios Tzavellas,3
Domagoj Vida,3
Srdjan Mijailovic,2
Vitaliy Buyalskyi,2
Kenneth Schuermans,2
Vadim Karpov,2
João Pereira,2
Charlie Adam,2
Renato Civelli,2
Rizvan Utsiev,3
Luís Neto,2
Borja García,2
Necip Uysal,2
Fabrizio Cacciatore,3
Alper Potuk,2
Wahbi Khazri,3
Jordan Ayew,2
Dino Arslanagic,3
Granit Xhaka,5
Rachid Ghezzal,2
Vincent Pajot,3
Thomas Lam,4
Okay Yokuslu,2
Kristof D'Haene,2
José Rodríguez,2
Jonny Otto,2
Vyacheslav Krotov,2
Rick Karsdorp,2
Abdou Diallo,3
Sergiy Chobotenko,2
Domingos Duarte,3
Neto,2
Ícaro,3
Majid Hosseini,2
Dalbert,2
Racine Coly,2
Bernard Mensah,2
Jorge Fernandes,2
Alfa Semedo,3
Boubacar Kamara,2
Nathan Collins,2
Aaron Wan-Bissaka,2
Jackson Porozo,2
Elye Wahi,2
Emre Belözoglu,2
Karim Bellarabi,2
Prince Gouano,2
Jonas Omlin,3
Ertugrul Ersoy,2
Egor Sorokin,2
Federico Marchetti,2
Asier Riesgo,2
Steve Mandanda,2
Ricardo Batista,2
Rolando,2
Edin Dzeko,2
Olcay Sahan,2
Christian Benteke,2
Gia Grigalava,3
Rafael Defendi,2
Ismail Konuk,2
Kyle Naughton,3
Neymar,2
Xabi Etxeita,2
Julian Draxler,2
Juan Muñiz,3
Sergi Roberto,2
William Carvalho,2
Paul Pogba,2
Dmytro Ryzhuk,2
Marvin Peersman,2
Benjamin Lecomte,2
Jak Alnwick,2
Jetro Willems,2
Felipe,3
Solomon Kvirkvelia,3
Federico Ceccherini,2
Mario Lemina,2
Marcelo,2
Alessio Romagnoli,2
Kenny van der Weg,2
Florent Mollet,2
Darian Mackinnon,3
Dogan Erdogan,2
Adam Marusic,4
Oleg Danchenko,2
Guram Tetrashvili,2
Mario Hermoso,2
Jacob Rasmussen,2
Jack Fitzwater,3
Aleksandr Sobolev,3
Danil Glebov,2
Abu Francis,2
Emmanuel Agbadou,4
Salis Abdul Samed,2
Ricardo Quaresma,2
Tony,2
Migjen Basha,2
Przemyslaw Tyton,2
Claudio Bravo,2
Marcelo,2
Alexandru Epureanu,2
Kasper Fisker,2
Timothy Derijck,2
Étienne Capoue,2
Papy Djilobodji,4
Abel Camará,2
Uros Spajic,2
Morten Thorsby,2
Jorge Cuenca,2
Vitaliy Dakhnovskyi,2
Andrei Girotto,2
Emerson Royal,2
Hugo Lloris,2
Murat Ceylan,2
Miguel Vítor,2
Maximiliano Pereira,2
Miguel Lopes,2
Maxime Gonalons,2
Cheikhou Kouyaté,2
Jorge Pulido,3
Johan Gastien,2
François Bellugou,3
Rafael,3
Mattia De Sciglio,3
Samba Sow,2
Kalidou Koulibaly,4
Zeki Yavru,3
Fransérgio,3
Giancarlo González,2
Jonas Svensson,3
Stefan Mitrovic,5
Stuart Findlay,3
Roel Janssen,2
Aymeric Laporte,2
James Ward-Prowse,2
Jander,2
Ruben Aguilar,2
Ederson,2
Joris Kramer,2
Karim Hafez,2
Ibrahim Diallo,2
Kelvin Amian,2
Shamar Nicholson,2
Rafa Márquez,2
Gonzalo Rodríguez,2
Sotiris Balafas,2
Dimitrios Kyriakidis,2
Yannick Cahuzac,4
Maurício,2
Ronald Vargas,2
Giovanni Sio,2
John Boye,2
Yaroslav Rakitskyi,2
Welinton,2
Hélder Lopes,2
Manu Trigueros,2
Deni Júnior,2
Niklas Moisander,2
Éver Banega,3
Alaixys Romao,2
Franco Vázquez,2
Jordy Clasie,2
Ciro Immobile,2
Mattia Perin,3
Vladimir Rykov,2
François Moubandje,2
Adama Soumaoro,3
Marçal,2
Tomás Pina,3
Anastasios Bakasetas,2
Lucas Tagliapietra,2
Fabian Serrarens,2
Rubén Blanco,3
Neal Maupay,2
Birger Verstraete,5
Pawel Dawidowicz,2
Abdoulaye Seck,2
Nathan de Medina,2
Erick Cabaco,3
Alfredo Morelos,4
Yusuf Yazici,2
Leon Bailey,2
Rogério,2
Jerome Opoku,2
Sedat Agcay,2
Dani Alves,3
Franck Ribéry,2
Baris Basdas,2
David Abraham,3
Fabián Orellana,2
Yasin Pehlivan,2
Mustapha Yatabaré,2
Miguel Britos,2
Mamadou Bagayoko,2
Oleksandr Bandura,2
Luis Advíncula,2
Younès Belhanda,5
Nir Bitton,2
Remo Freuler,2
Vitor Hugo,2
Renê Santos,2
John Lundstram,2
Lenny Nangis,2
Niklas Hult,2
Loick Landre,3
Ibrahima Seck,2
Hugo Almeida,2
Alessandro Cordaro,2
Lukas Hradecky,2
Mikael Ishak,2
Andre Poko,3
Farid Boulaya,2
Marco Ilaimaharitra,2
Joaquín Correa,2
Adrián Marín,2
Julian Chabot,2
Emiliano Buendía,2
Allano,3
Edson Álvarez,2
Éder Militão,2
Jules Koundé,2
Lewis Ferguson,2
Ronald Araújo,2
Daniele De Rossi,2
Kirk Broadfoot,2
Jean-Louis Leca,3
Kevin Mirallas,2
Dimitri Payet,3
David Destorme,2
Adel Taarabt,3
Ragnar Sigurdsson,2
Younousse Sankharé,2
Adil Auassar,4
Jaume Costa,4
Rafael Tolói,3
Steven Nzonzi,2
Khaleem Hyland,2
Walid Mesloub,2
Mark Durnan,2
Maximilian Arnold,2
Hans Vanaken,2
M'Baye Niang,2
Jack Stephens,2
Jack Baldwin,2
Davide Biraschi,2
Milan Skriniar,2
Oumar Niasse,2
Deniz Türüc,2
Aritz Elustondo,3
Grzegorz Krychowiak,3
Lucas Orbán,2
Sardar Azmoun,2
Bjarke Jacobsen,3
Brendan Chardonnet,2
Wesley Hoedt,2
Rodrigo de Paul,4
Calvin Verdonk,2
Franck Kessié,2
Souleyman Doumbia,2
Jerdy Schouten,2
Juninho Bacuna,2
Bruno Viana,2
Issah Abass,2
Willyan Rocha,2
Kang-in Lee,2
Hilton,5
Daniele Gastaldello,2
Phil Jagielka,2
Felipe,2
Christos Lisgaras,2
Urby Emanuelson,2
Gabriel Paletta,4
Mark Noble,2
Ádám Szalai,2
Marko Arnautovic,2
Mario Balotelli,6
Erik Sviatchenko,2
Damien Marcq,2
Sergiy Siminin,2
Anthony Lopes,2
Sander Fischer,2
Shkodran Mustafi,2
Sergi Gómez,3
Simone Zaza,2
Clément Tainmont,3
Thibaut Courtois,2
Luis Muriel,2
Edgar Costa,2
Florian Lejeune,2
Joãozinho,3
Jesper Drost,2
Gabriel Paulista,3
Salvador Agra,3
Wilfried Kanon,2
Muammer Yildirim,2
Sandy Walsh,2
Tim Chow,2
